Название,Описание,Цена,Категория,Количество,Скидка
"Защитное стекло Samsung Galaxy S24","Закаленное стекло 9H с олеофобным покрытием",699,"screen-protectors",85,15
"Быстрая зарядка 65W GaN","Компактное зарядное устройство с поддержкой PD",2299,"chargers",45,10
"Power Bank Xiaomi 10000mAh","Портативная батарея с беспроводной зарядкой",1599,"batteries",120,20
"Чехол iPhone 14 Pro кожаный","Премиум кожаный чехол с магнитным креплением",2499,"cases",35,0
"Кабель USB-C 3м","Прочный кабель для быстрой зарядки и передачи данных",899,"cables",200,5
"Наушники Sony WH-1000XM5","Беспроводные наушники с активным шумоподавлением",24999,"headphones",15,12
"Защитное стекло iPhone 15 Pro Max","Полноэкранное стекло с защитой от синего света",799,"screen-protectors",95,0
"Автомобильная зарядка 2 порта","Быстрая зарядка в автомобиль с 2 USB портами",1299,"chargers",65,8
"Чехол Xiaomi Redmi Note 12","Противоударный чехол с подставкой",599,"cases",150,25
"Беспроводные наушники AirPods 3","Оригинальные наушники Apple с пространственным звуком",15999,"headphones",25,7
